platform,library,primitive,algorithm,operation,mean_ns,allocs,test_class,test_method
Android,BouncyCastle,KEM,"FrodoKEM-1344-AES
Level 5",decaps,46092326,56,TestKemDecapsulationBc,benchmarkFrodoAes5Decapsulation
Android,BouncyCastle,KEM,"FrodoKEM-976-SHAKE
Level 3",decaps,22763183,42,TestKemDecapsulationBc,benchmarkFrodoShake3Decapsulation
Android,BouncyCastle,KEM,"ML-KEM-768
Level 3",decaps,113199,345,TestKemDecapsulationBc,benchmarkMlKem3Decapsulation
Android,BouncyCastle,KEM,"FrodoKEM-976-AES
Level 3",decaps,23860121,54,TestKemDecapsulationBc,benchmarkFrodoAes3Decapsulation
Android,BouncyCastle,KEM,"HQC-256
Level 5",decaps,41968099,3228,TestKemDecapsulationBc,benchmarkHqc5Decapsulation
Android,BouncyCastle,KEM,"HQC-192
Level 3",decaps,17770939,2088,TestKemDecapsulationBc,benchmarkHqc3Decapsulation
Android,BouncyCastle,KEM,"FrodoKEM-1344-SHAKE
Level 5",decaps,43350972,43,TestKemDecapsulationBc,benchmarkFrodoShake5Decapsulation
Android,BouncyCastle,KEM,"ML-KEM-1024
Level 5",decaps,161044,359,TestKemDecapsulationBc,benchmarkMlKem5Decapsulation
Android,BouncyCastle,KEM,"HQC-192
Level 3",encaps,11878804,903,TestKemEncapsulationBc,benchmarkHqc3Encapsulation
Android,BouncyCastle,KEM,"FrodoKEM-1344-SHAKE
Level 5",encaps,42749694,38,TestKemEncapsulationBc,benchmarkFrodoShake5Encapsulation
Android,BouncyCastle,KEM,"ML-KEM-1024
Level 5",encaps,127205,192,TestKemEncapsulationBc,benchmarkMlKem5Encapsulation
Android,BouncyCastle,KEM,"FrodoKEM-1344-AES
Level 5",encaps,48880412,51,TestKemEncapsulationBc,benchmarkFrodoAes5Encapsulation
Android,BouncyCastle,KEM,"FrodoKEM-976-SHAKE
Level 3",encaps,22080281,37,TestKemEncapsulationBc,benchmarkFrodoShake3Encapsulation
Android,BouncyCastle,KEM,"ML-KEM-768
Level 3",encaps,89617,152,TestKemEncapsulationBc,benchmarkMlKem3Encapsulation
Android,BouncyCastle,KEM,"FrodoKEM-976-AES
Level 3",encaps,24980238,49,TestKemEncapsulationBc,benchmarkFrodoAes3Encapsulation
Android,BouncyCastle,KEM,"HQC-256
Level 5",encaps,28288994,1416,TestKemEncapsulationBc,benchmarkHqc5Encapsulation
Android,BouncyCastle,KEM,"FrodoKEM-976-SHAKE
Level 3",keygen,21183736,7841,TestKemKeyGenerationBc,benchmarkFrodoShake3KeyGeneration
Android,BouncyCastle,KEM,"ML-KEM-768
Level 3",keygen,92121,179,TestKemKeyGenerationBc,benchmarkMlKem3KeyGeneration
Android,BouncyCastle,KEM,"FrodoKEM-976-AES
Level 3",keygen,23631073,7853,TestKemKeyGenerationBc,benchmarkFrodoAes3KeyGeneration
Android,BouncyCastle,KEM,"HQC-256
Level 5",keygen,14618930,41,TestKemKeyGenerationBc,benchmarkHqc5KeyGeneration
Android,BouncyCastle,KEM,"HQC-192
Level 3",keygen,6168828,41,TestKemKeyGenerationBc,benchmarkHqc3KeyGeneration
Android,BouncyCastle,KEM,"FrodoKEM-1344-SHAKE
Level 5",keygen,39055989,10786,TestKemKeyGenerationBc,benchmarkFrodoShake5KeyGeneration
Android,BouncyCastle,KEM,"ML-KEM-1024
Level 5",keygen,134633,218,TestKemKeyGenerationBc,benchmarkMlKem5KeyGeneration
Android,BouncyCastle,KEM,"FrodoKEM-1344-AES
Level 5",keygen,44189453,10798,TestKemKeyGenerationBc,benchmarkFrodoAes5KeyGeneration
Android,liboqs,KEM,"FrodoKEM-1344-AES
Level 5",decaps,1833768,2,TestKemDecapsulation,benchmarkFrodoAes5Decapsulation
Android,liboqs,KEM,"FrodoKEM-1344-SHAKE
Level 5",decaps,9079808,2,TestKemDecapsulation,benchmarkFrodoShake5Encapsulation
Android,liboqs,KEM,"FrodoKEM-976-SHAKE
Level 3",decaps,5025656,2,TestKemDecapsulation,benchmarkFrodoShake3Decapsulation
Android,liboqs,KEM,"FrodoKEM-976-AES
Level 3",decaps,984809,2,TestKemDecapsulation,benchmarkFrodoAes3Decapsulation
Android,liboqs,KEM,"ML-KEM-768
Level 3",decaps,32518,2,TestKemDecapsulation,benchmarkMlKem3EDecapsulation
Android,liboqs,KEM,"HQC-256
Level 5",decaps,155800252,4,TestKemDecapsulation,benchmarkHqc5Decapsulation
Android,liboqs,KEM,"HQC-192
Level 3",decaps,82928670,4,TestKemDecapsulation,benchmarkHqc3Decapsulation
Android,liboqs,KEM,"ML-KEM-1024
Level 5",decaps,47187,2,TestKemDecapsulation,benchmarkMlKem5Decapsulation
Android,liboqs,KEM,"HQC-192
Level 3",encaps,51459107,7,TestKemEncapsulation,benchmarkHqc3Encapsulation
Android,liboqs,KEM,"FrodoKEM-1344-SHAKE
Level 5",encaps,8934676,5,TestKemEncapsulation,benchmarkFrodoShake5Encapsulation
Android,liboqs,KEM,"ML-KEM-1024
Level 5",encaps,43997,5,TestKemEncapsulation,benchmarkMlKem5Encapsulation
Android,liboqs,KEM,"FrodoKEM-1344-AES
Level 5",encaps,1864127,5,TestKemEncapsulation,benchmarkFrodoAes5Encapsulation
Android,liboqs,KEM,"FrodoKEM-976-SHAKE
Level 3",encaps,4992557,5,TestKemEncapsulation,benchmarkFrodoShake3Encapsulation
Android,liboqs,KEM,"ML-KEM-768
Level 3",encaps,30675,5,TestKemEncapsulation,benchmarkMlKem3Encapsulation
Android,liboqs,KEM,"FrodoKEM-976-AES
Level 3",encaps,1053987,5,TestKemEncapsulation,benchmarkFrodoAes3Encapsulation
Android,liboqs,KEM,"HQC-256
Level 5",encaps,100181071,7,TestKemEncapsulation,benchmarkHqc5Encapsulation
Android,liboqs,KEM,"FrodoKEM-976-SHAKE
Level 3",keygen,4712394,5,TestKemKeyGeneration,benchmarkFrodoShake3KeyGeneration
Android,liboqs,KEM,"ML-KEM-768
Level 3",keygen,36707,5,TestKemKeyGeneration,benchmarkMlKem3KeyGeneration
Android,liboqs,KEM,"FrodoKEM-976-AES
Level 3",keygen,836994,5,TestKemKeyGeneration,benchmarkFrodoAes3KeyGeneration
Android,liboqs,KEM,"HQC-256
Level 5",keygen,49334085,6,TestKemKeyGeneration,benchmarkHqc5KeyGeneration
Android,liboqs,KEM,"HQC-192
Level 3",keygen,26414930,5,TestKemKeyGeneration,benchmarkHqc3KeyGeneration
Android,liboqs,KEM,"FrodoKEM-1344-SHAKE
Level 5",keygen,8209912,5,TestKemKeyGeneration,benchmarkFrodoShake5KeyGeneration
Android,liboqs,KEM,"ML-KEM-1024
Level 5",keygen,53446,5,TestKemKeyGeneration,benchmarkMlKem5KeyGeneration
Android,liboqs,KEM,"FrodoKEM-1344-AES
Level 5",keygen,1451125,5,TestKemKeyGeneration,benchmarkFrodoAes5KeyGeneration
Android,liboqs,DSA,"SLH-DSA-SHA2-192f
Level 3",keygen,1375755,5,TestSigKeyGenerationOqs,benchmarkSlhDsa3FastShaKeygen
Android,liboqs,DSA,"SLH-DSA-SHAKE-192s
Level 3",keygen,135217082,7,TestSigKeyGenerationOqs,benchmarkSlhDsa3SmallShakeKeygen
Android,liboqs,DSA,"cross-rsdpg-192-balanced
Level 3",keygen,16429,5,TestSigKeyGenerationOqs,benchmarkCross3RsdpgBalancedKeygen
Android,liboqs,DSA,"SLH-DSA-SHA2-192s
Level 3",keygen,89871542,7,TestSigKeyGenerationOqs,benchmarkSlhDsa3SmallShaKeygen
Android,liboqs,DSA,"cross-rsdp-192-balanced
Level 3",keygen,33424,5,TestSigKeyGenerationOqs,benchmarkCross3RsdpBalancedKeygen
Android,liboqs,DSA,"OV-V
Level 5",keygen,346657675,7,TestSigKeyGenerationOqs,benchmarkUov5Keygen
Android,liboqs,DSA,"cross-rsdpg-256-fast
Level 5",keygen,26279,5,TestSigKeyGenerationOqs,benchmarkCross5RsdpgFastKeygen
Android,liboqs,DSA,"ML-DSA-65
Level 3",keygen,119515,5,TestSigKeyGenerationOqs,benchmarkMlDsa3Keygen
Android,liboqs,DSA,"OV-V-pkc-skc
Level 5",keygen,344262736,7,TestSigKeyGenerationOqs,benchmarkUov5PkcSkcKeygen
Android,liboqs,DSA,"Falcon-padded-1024
Level 5",keygen,26079345,7,TestSigKeyGenerationOqs,benchmarkFalcon5PaddedKeygen
Android,liboqs,DSA,"cross-rsdp-256-fast
Level 5",keygen,56010,5,TestSigKeyGenerationOqs,benchmarkCross5RsdpFastKeygen
Android,liboqs,DSA,"cross-rsdpg-192-fast
Level 3",keygen,16565,5,TestSigKeyGenerationOqs,benchmarkCross3RsdpgFastKeygen
Android,liboqs,DSA,"MAYO-3
Level 3",keygen,873149,5,TestSigKeyGenerationOqs,benchmarkMayo3Keygen
Android,liboqs,DSA,"OV-III-pkc-skc
Level 3",keygen,110695801,7,TestSigKeyGenerationOqs,benchmarkUov3PkcSkcKeygen
Android,liboqs,DSA,"SLH-DSA-SHAKE-256f
Level 5",keygen,5552602,5,TestSigKeyGenerationOqs,benchmarkSlhDsa5FastShakeKeygen
Android,liboqs,DSA,"OV-V-pkc
Level 5",keygen,345153035,7,TestSigKeyGenerationOqs,benchmarkUov5PkcKeygen
Android,liboqs,DSA,"cross-rsdp-192-fast
Level 3",keygen,33579,5,TestSigKeyGenerationOqs,benchmarkCross3RsdpFastKeygen
Android,liboqs,DSA,"SLH-DSA-SHAKE-256s
Level 5",keygen,91923015,7,TestSigKeyGenerationOqs,benchmarkSlhDsa5SmallShakeKeygen
Android,liboqs,DSA,"OV-III-pkc
Level 3",keygen,111016683,7,TestSigKeyGenerationOqs,benchmarkUov3PkcKeygen
Android,liboqs,DSA,"ML-DSA-87
Level 5",keygen,172139,5,TestSigKeyGenerationOqs,benchmarkMlDsa5Keygen
Android,liboqs,DSA,"OV-III
Level 3",keygen,111677165,7,TestSigKeyGenerationOqs,benchmarkUov3Keygen
Android,liboqs,DSA,"SLH-DSA-SHA2-256s
Level 5",keygen,58601522,7,TestSigKeyGenerationOqs,benchmarkSlhDsa5SmallShaKeygen
Android,liboqs,DSA,"SLH-DSA-SHA2-256f
Level 5",keygen,3670081,5,TestSigKeyGenerationOqs,benchmarkSlhDsa5FastShaKeygen
Android,liboqs,DSA,"SLH-DSA-SHAKE-192f
Level 3",keygen,2107446,5,TestSigKeyGenerationOqs,benchmarkSlhDsa3FastShakeKeygen
Android,liboqs,DSA,"cross-rsdpg-256-balanced
Level 5",keygen,26593,5,TestSigKeyGenerationOqs,benchmarkCross5RsdpgBalancedKeygen
Android,liboqs,DSA,"Falcon-1024
Level 5",keygen,28689304,5,TestSigKeyGenerationOqs,benchmarkFalcon5Keygen
Android,liboqs,DSA,"SLH-DSA-SHAKE-256f
Level 5",sign,116246786,6,TestSigSignOqs,benchmarkSlhDsa5FastShakeSign
Android,liboqs,DSA,"SLH-DSA-SHA2-192s
Level 3",sign,814091798,6,TestSigSignOqs,benchmarkSlhDsa3SmallShaSign
Android,liboqs,DSA,"cross-rsdp-192-fast
Level 3",sign,1487833,4,TestSigSignOqs,benchmarkCross3RsdpFastSign
Android,liboqs,DSA,"cross-rsdpg-192-balanced
Level 3",sign,1639879,4,TestSigSignOqs,benchmarkCross3RsdpgBalancedSign
Android,liboqs,DSA,"cross-rsdpg-256-fast
Level 5",sign,2250116,4,TestSigSignOqs,benchmarkCross5RsdpgFastSign
Android,liboqs,DSA,"SLH-DSA-SHA2-192f
Level 3",sign,36549642,5,TestSigSignOqs,benchmarkSlhDsa3FastShaSign
Android,liboqs,DSA,"SLH-DSA-SHAKE-192f
Level 3",sign,59619792,6,TestSigSignOqs,benchmarkSlhDsa3FastShakeSign
Android,liboqs,DSA,"SLH-DSA-SHA2-256f
Level 5",sign,75448812,6,TestSigSignOqs,benchmarkSlhDsa5FastShaSign
Android,liboqs,DSA,"SLH-DSA-SHAKE-192s
Level 3",sign,1347309856,6,TestSigSignOqs,benchmarkSlhDsa3SmallShakeSign
Android,liboqs,DSA,"OV-V-pkc
Level 5",sign,3135091,4,TestSigSignOqs,benchmarkUov5PkcSign
Android,liboqs,DSA,"cross-rsdpg-192-fast
Level 3",sign,1288246,4,TestSigSignOqs,benchmarkCross3RsdpgFastSign
Android,liboqs,DSA,"ML-DSA-65
Level 3",sign,369970,4,TestSigSignOqs,benchmarkMlDsa3Sign
Android,liboqs,DSA,"ML-DSA-87
Level 5",sign,469708,4,TestSigSignOqs,benchmarkMlDsa5Sign
Android,liboqs,DSA,"OV-III-pkc
Level 3",sign,1351751,4,TestSigSignOqs,benchmarkUov3PkcSign
Android,liboqs,DSA,"Falcon-1024
Level 5",sign,8250885,4,TestSigSignOqs,benchmarkFalcon5Sign
Android,liboqs,DSA,"MAYO-3
Level 3",sign,2648782,4,TestSigSignOqs,benchmarkMayo3Sign
Android,liboqs,DSA,"Falcon-padded-1024
Level 5",sign,8238379,4,TestSigSignOqs,benchmarkFalcon5PaddedSign
Android,liboqs,DSA,"cross-rsdp-192-balanced
Level 3",sign,2756424,4,TestSigSignOqs,benchmarkCross3RsdpBalancedSign
Android,liboqs,DSA,"cross-rsdpg-256-balanced
Level 5",sign,3050879,4,TestSigSignOqs,benchmarkCross5RsdpgBalancedSign
Android,liboqs,DSA,"OV-III-pkc-skc
Level 3",sign,71381673,6,TestSigSignOqs,benchmarkUov3PkcSkcSign
Android,liboqs,DSA,"SLH-DSA-SHA2-256s
Level 5",sign,741473511,6,TestSigSignOqs,benchmarkSlhDsa5SmallShaSign
Android,liboqs,DSA,"OV-III
Level 3",sign,1353042,4,TestSigSignOqs,benchmarkUov3Sign
Android,liboqs,DSA,"OV-V
Level 5",sign,3176860,4,TestSigSignOqs,benchmarkUov5Sign
Android,liboqs,DSA,"OV-V-pkc-skc
Level 5",sign,221974488,6,TestSigSignOqs,benchmarkUov5PkcSkcSign
Android,liboqs,DSA,"SLH-DSA-SHAKE-256s
Level 5",sign,1237814739,6,TestSigSignOqs,benchmarkSlhDsa5SmallShakeSign
